Sample	Screen_ID	Technical_rep	Screen_rep_ID	Treatment	Treatment_ID	Treatment_type	Nb_of_ligands	Ligand_conc	Layout_ID	Plate_ID	Well_ID_culture	Well_ID_fcs	Live_cells	Viability	Peak_0	Peak_1	Peak_2	Peak_3	Peak_4	Peak_5	Peak_6	cell_total	cell_start	cell_activated	divisions	PI	PI_norm	PI_1	PI_2	PI_3	PI_12	PI_13	PI_23	PI_123	PI_isserlis
E10_HcGCp_full_rep1	10	1	s10_full_rep1	HcGCp	HcGCp_1	Triplet	7	full	1	1	D3	H3	9907	86.55425476	5131	1066	1526	1291	677	111	2	9804	6252.6875	1121.6875	1966.90625	1.753524266	0.765510819	0.675926461	0.897727464	0.941142223	0.824726611	0.743511347	0.872465428	0.765510819	0.891212099
E10_ZScG_full_rep1	10	1	s10_full_rep1	ZScG	ZScG_1	Triplet	7	full	1	1	E3	H4	14257	62.01931442	8026	821	1974	2122	990	283	1	14217	9265.984375	1239.984375	2485.0625	2.004107915	0.874904512	0.877365742	0.945649432	0.897727464	0.843920621	0.956607054	0.819408598	0.874904512	0.891492878
E10_ZSCp_full_rep1	10	1	s10_full_rep1	ZSCp	ZSCp_1	Triplet	7	full	1	1	F3	H5	12301	58.16625686	6585	1148	1877	1860	750	121	0	12341	7911.40625	1326.40625	2416.40625	1.821769349	0.795303591	0.877365742	0.945649432	0.941142223	0.843920621	0.895227597	0.748571195	0.795303591	0.735896978
E10_ZcGCp_full_rep1	10	1	s10_full_rep1	ZcGCp	ZcGCp_1	Triplet	7	full	1	1	G3	H6	13912	74.77961729	8122	1071	1729	1767	1011	203	14	13917	9380.375	1258.375	2348.40625	1.866221317	0.814709347	0.877365742	0.897727464	0.941142223	0.956607054	0.895227597	0.872465428	0.814709347	0.986891251
E10_ScGCp_full_rep1	10	1	s10_full_rep1	ScGCp	ScGCp_1	Triplet	7	full	1	2	B3	H7	6881	86.0985986	3684	752	992	860	462	84	4	6838	4447.0625	763.0625	1323.5	1.734458187	0.757187416	0.945649432	0.897727464	0.941142223	0.819408598	0.748571195	0.872465428	0.757187416	0.670301362
E10_P_full_rep2	10	2	s10_full_rep2	P	P_2	Single	7	full	1	1	B10	A1	24159	92.99792132	14897	1136	1826	2204	2502	1321	371	24257	16400.45313	1503.453125	3174.1875	2.111264693	0.854444531	NA	NA	NA	NA	NA	NA	NA	NA
E10_L_full_rep2	10	2	s10_full_rep2	L	L_2	Single	7	full	1	1	C10	A2	28334	96.0149102	14311	941	1840	3551	4420	2850	475	28388	16058.10938	1747.109375	4316.96875	2.470920717	1	NA	NA	NA	NA	NA	NA	NA	NA
E10_H_full_rep2	10	2	s10_full_rep2	H	H_2	Single	7	full	1	1	D10	A3	11521	89.0615337	10641	162	233	314	169	1	1	11521	10830.10938	189.109375	357.75	1.891762373	0.765610309	NA	NA	NA	NA	NA	NA	NA	NA
E10_Z_full_rep2	10	2	s10_full_rep2	Z	Z_2	Single	7	full	1	1	E10	A4	15063	83.35454596	11299	586	740	962	906	452	104	15049	11969.625	670.625	1330.625	1.98415657	0.803002928	NA	NA	NA	NA	NA	NA	NA	NA
E10_S_full_rep2	10	2	s10_full_rep2	S	S_2	Single	7	full	1	1	F10	A5	12859	87.29803123	7883	802	1706	1732	803	203	23	13152	8983.890625	1100.890625	2138.125	1.942177498	0.786013685	NA	NA	NA	NA	NA	NA	NA	NA
E10_cG_full_rep2	10	2	s10_full_rep2	cG	cG_2	Single	7	full	1	1	G10	A6	11500	89.82269781	10306	245	341	231	249	139	0	11511	10562.53125	256.53125	463.59375	1.80716287	0.73137226	NA	NA	NA	NA	NA	NA	NA	NA
E10_Cp_full_rep2	10	2	s10_full_rep2	Cp	Cp_2	Single	7	full	1	2	B10	A7	19870	94.63256656	15605	321	870	964	1275	606	201	19842	16205.26563	600.265625	1389.28125	2.314444126	0.936672759	NA	NA	NA	NA	NA	NA	NA	NA
E10_PL_full_rep2	10	2	s10_full_rep2	PL	PL_2	Pair	7	full	1	2	C10	A8	11819	94.46131714	9302	791	725	540	290	94	23	11765	9967.671875	665.671875	1049.84375	1.577118982	0.638271787	NA	NA	NA	NA	NA	NA	NA	NA
E10_PH_full_rep2	10	2	s10_full_rep2	PH	PH_2	Pair	7	full	1	1	B9	B1	5561	82.51966167	4858	234	244	135	48	9	4	5532	5056.21875	198.21875	303.40625	1.530663724	0.619470998	NA	NA	NA	NA	NA	NA	NA	NA
E10_PZ_full_rep2	10	2	s10_full_rep2	PZ	PZ_2	Pair	7	full	1	1	C9	B2	23170	80.0926406	13998	1710	2704	2763	1545	429	71	23220	15985.45313	1987.453125	3703.0625	1.863220044	0.754059016	NA	NA	NA	NA	NA	NA	NA	NA
E10_PS_full_rep2	10	2	s10_full_rep2	PS	PS_2	Pair	7	full	1	1	D9	B3	3600	70.51909892	3099	243	163	47	20	0	0	3572	3268.375	169.375	225.625	1.332103321	0.539112126	NA	NA	NA	NA	NA	NA	NA	NA
E10_PcG_full_rep2	10	2	s10_full_rep2	PcG	PcG_2	Pair	7	full	1	1	E9	B4	9114	89.53728264	6287	962	966	554	243	63	0	9075	7095.90625	808.90625	1242.34375	1.535831563	0.621562461	NA	NA	NA	NA	NA	NA	NA	NA
E10_PCp_full_rep2	10	2	s10_full_rep2	PCp	PCp_2	Pair	7	full	1	1	F9	B5	19056	92.91077523	15118	698	839	933	854	486	95	19023	15863.42188	745.421875	1416.71875	1.900559666	0.769170639	NA	NA	NA	NA	NA	NA	NA	NA
E10_LH_full_rep2	10	2	s10_full_rep2	LH	LH_2	Pair	7	full	1	1	G9	B6	14398	94.36979747	9791	682	1145	1494	905	386	2	14405	10673.65625	882.65625	1760.5	1.994547708	0.807208298	NA	NA	NA	NA	NA	NA	NA	NA
E10_LZ_full_rep2	10	2	s10_full_rep2	LZ	LZ_2	Pair	7	full	1	2	B9	B7	25659	87.63020389	12792	1747	2862	3804	2845	1157	263	25470	15074.57813	2282.578125	4647.6875	2.036157032	0.824047902	NA	NA	NA	NA	NA	NA	NA	NA
E10_LS_full_rep2	10	2	s10_full_rep2	LS	LS_2	Pair	7	full	1	2	C9	B8	13900	93.24478433	4786	1233	2450	3036	1848	429	50	13832	6524.1875	1738.1875	3513.71875	2.021484305	0.81810974	NA	NA	NA	NA	NA	NA	NA	NA
E10_LcG_full_rep2	10	2	s10_full_rep2	LcG	LcG_2	Pair	7	full	1	1	B8	C1	18272	93.82766766	8452	1807	2558	2871	1919	555	84	18246	10492.46875	2040.46875	3833.46875	1.878719657	0.760331824	NA	NA	NA	NA	NA	NA	NA	NA
E10_LCp_full_rep2	10	2	s10_full_rep2	LCp	LCp_2	Pair	7	full	1	1	C8	C2	23118	96.06482443	11135	1017	2205	3270	3030	1850	395	22902	12856.85938	1721.859375	3920.84375	2.277098703	0.921558789	NA	NA	NA	NA	NA	NA	NA	NA
E10_HZ_full_rep2	10	2	s10_full_rep2	HZ	HZ_2	Pair	7	full	1	1	D8	C3	19947	94.03196153	12429	814	1968	2619	1593	516	100	20039	13772.625	1343.625	2861.375	2.129593451	0.861862315	NA	NA	NA	NA	NA	NA	NA	NA
E10_HS_full_rep2	10	2	s10_full_rep2	HS	HS_2	Pair	7	full	1	1	E8	C4	12799	92.47164222	5504	972	2144	2319	1476	364	17	12796	6919.765625	1415.765625	2855.09375	2.016642938	0.816150403	NA	NA	NA	NA	NA	NA	NA	NA
E10_HcG_full_rep2	10	2	s10_full_rep2	HcG	HcG_2	Pair	7	full	1	1	F8	C5	10245	93.37404302	8153	372	509	770	343	105	0	10252	8587.21875	434.21875	831.40625	1.914717524	0.774900429	NA	NA	NA	NA	NA	NA	NA	NA
E10_HCp_full_rep2	10	2	s10_full_rep2	HCp	HCp_2	Pair	7	full	1	1	G8	C6	8459	86.90158208	7411	285	287	266	126	36	0	8411	7667.5	256.5	422.875	1.648635478	0.667215045	NA	NA	NA	NA	NA	NA	NA	NA
E10_ZS_full_rep2	10	2	s10_full_rep2	ZS	ZS_2	Pair	7	full	1	2	B8	C7	14464	69.82379918	6821	1041	2620	2440	1272	240	0	14434	8388.5	1567.5	3101	1.97830941	0.800636538	NA	NA	NA	NA	NA	NA	NA	NA
E10_ZcG_full_rep2	10	2	s10_full_rep2	ZcG	ZcG_2	Pair	7	full	1	2	C8	C8	17076	85.30748863	8910	749	2089	2892	1808	430	74	16952	10295.84375	1385.84375	3029.625	2.186123075	0.884740275	NA	NA	NA	NA	NA	NA	NA	NA
E10_ZCp_full_rep2	10	2	s10_full_rep2	ZCp	ZCp_2	Pair	7	full	1	1	B7	D1	26569	90.89322979	14874	1339	2570	3289	2875	1278	290	26515	16821.28125	1947.28125	4133.5	2.122703128	0.85907375	NA	NA	NA	NA	NA	NA	NA	NA
E10_ScG_full_rep2	10	2	s10_full_rep2	ScG	ScG_2	Pair	7	full	1	1	C7	D2	15980	86.46250406	6460	1499	2779	3256	1472	410	82	15958	8417.34375	1957.34375	3799.75	1.941278838	0.78564999	NA	NA	NA	NA	NA	NA	NA	NA
E10_SCp_full_rep2	10	2	s10_full_rep2	SCp	SCp_2	Pair	7	full	1	1	D7	D3	10550	93.55324998	3840	1669	1983	1995	1146	204	23	10860	5497.984375	1657.984375	2894.65625	1.745888739	0.706574164	NA	NA	NA	NA	NA	NA	NA	NA
E10_cGCp_full_rep2	10	2	s10_full_rep2	cGCp	cGCp_2	Pair	7	full	1	1	E7	D4	15551	95.22380748	5173	1710	2650	3210	2263	546	60	15612	7251.1875	2078.1875	4040.4375	1.944212204	0.786837146	NA	NA	NA	NA	NA	NA	NA	NA
E10_PLH_full_rep2	10	2	s10_full_rep2	PLH	PLH_2	Triplet	7	full	1	1	F7	D5	4902	82.02811245	4597	177	80	1	1	0	0	4856	4705.6875	108.6875	129.125	1.188039103	0.480808265	0.854444531	1	0.765610309	0.638271787	0.619470998	0.807208298	0.480808265	0.489510091
E10_PLZ_full_rep2	10	2	s10_full_rep2	PLZ	PLZ_2	Triplet	7	full	1	1	G7	D6	15569	76.03164526	10511	1455	1634	1203	639	129	1	15572	11841.35938	1330.359375	2175.625	1.635366384	0.661844944	0.854444531	1	0.803002928	0.638271787	0.754059016	0.824047902	0.661844944	0.598453433
E10_PLS_full_rep2	10	2	s10_full_rep2	PLS	PLS_2	Triplet	7	full	1	2	B7	D7	3177	75.84148962	2980	129	36	0	0	0	0	3145	3053.5	73.5	82.5	1.12244898	0.454263454	0.854444531	1	0.786013685	0.638271787	0.539112126	0.81810974	0.454263454	0.39662169
E10_PLcG_full_rep2	10	2	s10_full_rep2	PLcG	PLcG_2	Triplet	7	full	1	2	C7	D8	3687	82.04272363	3605	27	0	1	0	0	0	3633	3618.625	13.625	13.875	1.018348624	0.412133265	0.854444531	1	0.73137226	0.638271787	0.621562461	0.760331824	0.412133265	0.488204054
E10_PLCp_full_rep2	10	2	s10_full_rep2	PLCp	PLCp_2	Triplet	7	full	1	1	B6	E1	10892	94.0343607	7677	841	955	733	493	125	1	10825	8462.609375	785.609375	1315.75	1.674814535	0.677809904	0.854444531	1	0.936672759	0.638271787	0.769170639	0.921558789	0.677809904	0.553773469
E10_PHZ_full_rep2	10	2	s10_full_rep2	PHZ	PHZ_2	Triplet	7	full	1	1	C6	E2	11036	57.73778382	7846	1275	1148	554	220	38	0	11081	8854.6875	1008.6875	1480.1875	1.467439123	0.593883532	0.854444531	0.765610309	0.803002928	0.619470998	0.754059016	0.861862315	0.593883532	0.760562597
E10_PHS_full_rep2	10	2	s10_full_rep2	PHS	PHS_2	Triplet	7	full	1	1	D6	E3	3216	89.01190147	2898	200	89	30	0	0	0	3217	3024	126	155.75	1.236111111	0.500263364	0.854444531	0.765610309	0.786013685	0.619470998	0.539112126	0.816150403	0.500263364	0.568642164
E10_PHcG_full_rep2	10	2	s10_full_rep2	PHcG	PHcG_2	Triplet	7	full	1	1	E6	E4	4473	74.19140819	4313	109	0	0	0	1	0	4423	4367.53125	54.53125	54.65625	1.002292264	0.405635137	0.854444531	0.765610309	0.73137226	0.619470998	0.621562461	0.774900429	0.405635137	0.634162128
E10_PHCp_full_rep2	10	2	s10_full_rep2	PHCp	PHCp_2	Triplet	7	full	1	1	F6	E5	6291	87.58179034	4731	651	506	295	140	19	0	6342	5229.21875	498.21875	727.09375	1.459386565	0.590624602	0.854444531	0.765610309	0.936672759	0.619470998	0.769170639	0.667215045	0.590624602	0.513735501
E10_PZS_full_rep2	10	2	s10_full_rep2	PZS	PZS_2	Triplet	7	full	1	1	G6	E6	5786	44.65195246	4509	518	466	177	50	0	0	5720	4909.75	400.75	570.875	1.424516532	0.57651244	0.854444531	0.803002928	0.786013685	0.754059016	0.539112126	0.800636538	0.57651244	0.631107118
E10_PZcG_full_rep2	10	2	s10_full_rep2	PZcG	PZcG_2	Triplet	7	full	1	2	B6	E7	7481	42.75345754	5080	947	750	496	216	51	0	7540	5818.09375	738.09375	1096.46875	1.485541301	0.601209618	0.854444531	0.803002928	0.73137226	0.754059016	0.621562461	0.884740275	0.601209618	0.802955406
E10_PZCp_full_rep2	10	2	s10_full_rep2	PZCp	PZCp_2	Triplet	7	full	1	2	C6	E8	18366	83.10783293	10527	1518	2497	2467	1036	132	0	18177	12287.5	1760.5	3212.25	1.824623686	0.738438783	0.854444531	0.803002928	0.936672759	0.754059016	0.769170639	0.85907375	0.738438783	0.772641119
E10_PScG_full_rep2	10	2	s10_full_rep2	PScG	PScG_2	Triplet	7	full	1	1	B5	F1	7007	73.72685185	4440	907	892	581	209	22	1	7052	5202.890625	762.890625	1173.15625	1.537777778	0.622350109	0.854444531	0.786013685	0.73137226	0.539112126	0.621562461	0.78564999	0.622350109	0.57175592
E10_PSCp_full_rep2	10	2	s10_full_rep2	PSCp	PSCp_2	Triplet	7	full	1	1	C5	F2	6815	89.67105263	3616	727	1128	921	424	45	0	6861	4404.53125	788.53125	1385.90625	1.75757936	0.711305445	0.854444531	0.786013685	0.936672759	0.539112126	0.769170639	0.706574164	0.711305445	0.455130327
E10_PcGCp_full_rep2	10	2	s10_full_rep2	PcGCp	PcGCp_2	Triplet	7	full	1	1	D5	F3	7480	91.28630705	4788	754	904	663	352	33	1	7495	5496.921875	708.921875	1170.875	1.651627692	0.668426016	0.854444531	0.73137226	0.936672759	0.621562461	0.769170639	0.786837146	0.668426016	0.646373877
E10_LHZ_full_rep2	10	2	s10_full_rep2	LHZ	LHZ_2	Triplet	7	full	1	1	E5	F4	19953	88.66423747	10098	1373	2714	3058	1883	471	66	19663	11978.6875	1880.6875	3740.78125	1.989049882	0.804983287	1	0.765610309	0.803002928	0.807208298	0.824047902	0.861862315	0.804983287	0.911377871
E10_LHS_full_rep2	10	2	s10_full_rep2	LHS	LHS_2	Triplet	7	full	1	1	F5	F5	15528	94.52730261	4590	1555	3232	3696	2018	370	111	15572	6776.921875	2186.921875	4352.21875	1.990111672	0.805413002	1	0.765610309	0.786013685	0.807208298	0.81810974	0.816150403	0.805413002	0.873420062
E10_LHcG_full_rep2	10	2	s10_full_rep2	LHcG	LHcG_2	Triplet	7	full	1	1	G5	F6	13895	94.99555616	7578	1031	1715	1992	1265	316	41	13938	8860.828125	1282.828125	2489.46875	1.940609737	0.7853792	1	0.765610309	0.73137226	0.807208298	0.760331824	0.774900429	0.7853792	0.827495785
E10_LHCp_full_rep2	10	2	s10_full_rep2	LHCp	LHCp_2	Triplet	7	full	1	2	B5	F7	6182	90.56548491	3645	684	777	586	396	90	19	6197	4282.359375	637.359375	1065.09375	1.67110392	0.676308191	1	0.765610309	0.936672759	0.807208298	0.921558789	0.667215045	0.676308191	0.694607337
E10_LZS_full_rep2	10	2	s10_full_rep2	LZS	LZS_2	Triplet	7	full	1	2	C5	F8	10581	65.00583646	4950	1864	1849	1361	427	55	0	10506	6542.78125	1592.78125	2482.21875	1.558417862	0.630703305	1	0.803002928	0.786013685	0.824047902	0.81810974	0.800636538	0.630703305	0.842951402
E10_LZcG_full_rep2	10	2	s10_full_rep2	LZcG	LZcG_2	Triplet	7	full	1	1	B4	G1	17819	70.17288229	8770	1530	2731	2984	1726	444	80	18265	10713.75	1943.75	3757.875	1.933311897	0.78242571	1	0.803002928	0.73137226	0.824047902	0.760331824	0.884740275	0.78242571	0.9233866
E10_LZCp_full_rep2	10	2	s10_full_rep2	LZCp	LZCp_2	Triplet	7	full	1	1	C4	G2	21743	83.16312871	10963	1323	2658	3659	2550	615	94	21862	12926.4375	1963.4375	4105.03125	2.090736909	0.846136784	1	0.803002928	0.936672759	0.824047902	0.921558789	0.85907375	0.846136784	0.866649442
E10_LScG_full_rep2	10	2	s10_full_rep2	LScG	LScG_2	Triplet	7	full	1	1	D4	G3	12182	81.62144054	5523	1875	2043	1943	751	139	1	12275	7265.421875	1742.421875	2897.1875	1.662735955	0.672921613	1	0.786013685	0.73137226	0.81810974	0.760331824	0.78564999	0.672921613	0.831886768
E10_LSCp_full_rep2	10	2	s10_full_rep2	LSCp	LSCp_2	Triplet	7	full	1	1	E4	G4	8348	88.08694735	3412	1168	1564	1489	591	150	34	8408	4615.28125	1203.28125	2098.75	1.744189066	0.705886293	1	0.786013685	0.936672759	0.81810974	0.921558789	0.706574164	0.705886293	0.724757877
E10_LcGCp_full_rep2	10	2	s10_full_rep2	LcGCp	LcGCp_2	Triplet	7	full	1	1	F4	G5	8234	87.01257529	4896	1147	983	811	340	61	1	8239	5839.796875	943.796875	1463.75	1.550916345	0.627667385	1	0.73137226	0.936672759	0.760331824	0.921558789	0.786837146	0.627667385	0.802908842
E10_HZS_full_rep2	10	2	s10_full_rep2	HZS	HZS_2	Triplet	7	full	1	1	G4	G6	10279	66.29901961	6971	638	1375	984	314	64	0	10346	7778.375	807.375	1464	1.81328379	0.733849442	0.765610309	0.803002928	0.786013685	0.861862315	0.816150403	0.800636538	0.733849442	0.979319831
E10_HZcG_full_rep2	10	2	s10_full_rep2	HZcG	HZcG_2	Triplet	7	full	1	2	B4	G7	14126	74.8873456	7659	982	2144	1910	1136	301	26	14158	9005.5625	1346.5625	2612.71875	1.94028777	0.785248898	0.765610309	0.803002928	0.73137226	0.861862315	0.774900429	0.884740275	0.785248898	1.030678995
E10_HZCp_full_rep2	10	2	s10_full_rep2	HZCp	HZCp_2	Triplet	7	full	1	2	C4	G8	11514	74.54357115	7575	749	1273	1201	637	143	0	11578	8462.15625	887.15625	1642.96875	1.851949699	0.749497823	0.765610309	0.803002928	0.936672759	0.861862315	0.667215045	0.85907375	0.749497823	0.849065236
E10_HScG_full_rep2	10	2	s10_full_rep2	HScG	HScG_2	Triplet	7	full	1	1	B3	H1	13611	81.796875	7571	967	1612	2034	1171	299	48	13702	8795.03125	1224.03125	2396.21875	1.957645076	0.792273529	0.765610309	0.786013685	0.73137226	0.816150403	0.774900429	0.78564999	0.792273529	0.927243177
E10_HSCp_full_rep2	10	2	s10_full_rep2	HSCp	HSCp_2	Triplet	7	full	1	1	C3	H2	10507	84.02239104	5880	912	1206	1444	879	208	30	10559	6879.90625	999.90625	1855.5625	1.855736475	0.75103036	0.765610309	0.786013685	0.936672759	0.816150403	0.667215045	0.706574164	0.75103036	0.702524266
E10_HcGCp_full_rep2	10	2	s10_full_rep2	HcGCp	HcGCp_2	Triplet	7	full	1	1	D3	H3	10629	87.99569501	6555	962	1200	1082	651	169	0	10619	7517.21875	962.21875	1675.90625	1.74171024	0.704883094	0.765610309	0.73137226	0.936672759	0.774900429	0.667215045	0.786837146	0.704883094	0.767248733
E10_ZScG_full_rep2	10	2	s10_full_rep2	ZScG	ZScG_2	Triplet	7	full	1	1	E3	H4	13650	63.28527053	7140	979	2055	2188	986	271	0	13619	8486.84375	1346.84375	2626.34375	1.94999884	0.78917904	0.803002928	0.786013685	0.73137226	0.800636538	0.884740275	0.78564999	0.78917904	0.988618214
E10_ZSCp_full_rep2	10	2	s10_full_rep2	ZSCp	ZSCp_2	Triplet	7	full	1	1	F3	H5	10509	54.60355399	5534	1067	1689	1425	663	117	0	10495	6712.96875	1178.96875	2096.40625	1.778169481	0.71963842	0.803002928	0.786013685	0.936672759	0.800636538	0.85907375	0.706574164	0.71963842	0.810157373
E10_ZcGCp_full_rep2	10	2	s10_full_rep2	ZcGCp	ZcGCp_2	Triplet	7	full	1	1	G3	H6	12412	62.9316027	7803	736	1296	1476	784	209	69	12373	8736.109375	933.109375	1804.625	1.933990857	0.78270049	0.803002928	0.73137226	0.936672759	0.884740275	0.85907375	0.786837146	0.78270049	0.98864265
E10_ScGCp_full_rep2	10	2	s10_full_rep2	ScGCp	ScGCp_2	Triplet	7	full	1	2	B3	H7	7979	77.54130224	3932	831	1293	1142	681	171	17	8067	4861.671875	929.671875	1688.8125	1.816568346	0.735178726	0.786013685	0.73137226	0.936672759	0.78564999	0.706574164	0.786837146	0.735178726	0.794202927
E12_P_full_rep1	12	1	s12_full_rep1	P	P_1	Single	8	full	5	1	B10	A1	21735	90.02236581	5869	1551	2504	4091	4524	2297	668	21504	8146.84375	2277.84375	5114.15625	2.245174301	0.932244979	NA	NA	NA	NA	NA	NA	NA	NA
E12_L_full_rep1	12	1	s12_full_rep1	L	L_1	Single	8	full	5	1	C10	A2	13856	94.9756666	4890	662	1453	2413	3140	1365	234	14157	6128.4375	1238.4375	2982.59375	2.408352258	1	NA	NA	NA	NA	NA	NA	NA	NA
E12_H_full_rep1	12	1	s12_full_rep1	H	H_1	Single	8	full	5	1	D10	A3	2358	77.59131293	1981	95	85	83	44	36	0	2324	2064	83	137.75	1.659638554	0.68911786	NA	NA	NA	NA	NA	NA	NA	NA
E12_Z_full_rep1	12	1	s12_full_rep1	Z	Z_1	Single	8	full	5	1	E10	A4	9441	85.02341499	3406	785	1400	1445	1542	760	147	9485	4451.546875	1045.546875	2152.40625	2.05864156	0.854792547	NA	NA	NA	NA	NA	NA	NA	NA
E12_S_full_rep1	12	1	s12_full_rep1	S	S_1	Single	8	full	5	1	F10	A5	8035	88.93193138	1925	961	1936	2072	1002	184	14	8094	3217.09375	1292.09375	2506.0625	1.939536121	0.80533739	NA	NA	NA	NA	NA	NA	NA	NA
E12_cG_full_rep1	12	1	s12_full_rep1	cG	cG_1	Single	8	full	5	1	G10	A6	8155	87.47184383	2881	542	1117	1509	1452	580	67	8148	3729.796875	848.796875	1855.28125	2.185777663	0.907582209	NA	NA	NA	NA	NA	NA	NA	NA
E12_Cp_full_rep1	12	1	s12_full_rep1	Cp	Cp_1	Single	8	full	5	2	B10	A7	6566	75.38461538	3913	401	386	679	679	330	66	6454	4348.65625	435.65625	875.625	2.009898859	0.834553522	NA	NA	NA	NA	NA	NA	NA	NA
E12_PL_full_rep1	12	1	s12_full_rep1	PL	PL_1	Pair	8	full	5	2	D10	A9	6792	92.81224378	3277	1372	1324	663	129	28	0	6793	4385.8125	1108.8125	1633.25	1.472972211	0.611609953	NA	NA	NA	NA	NA	NA	NA	NA
E12_PH_full_rep1	12	1	s12_full_rep1	PH	PH_1	Pair	8	full	5	2	E10	A10	2966	82.32028865	2287	323	206	94	25	0	0	2935	2513.3125	226.3125	306	1.352112676	0.561426457	NA	NA	NA	NA	NA	NA	NA	NA
E12_PZ_full_rep1	12	1	s12_full_rep1	PZ	PZ_1	Pair	8	full	5	2	F10	A11	14569	83.13741155	3949	2258	3280	3390	1199	242	35	14353	6404.796875	2455.796875	4381.09375	1.783980505	0.74074733	NA	NA	NA	NA	NA	NA	NA	NA
E12_PS_full_rep1	12	1	s12_full_rep1	PS	PS_1	Pair	8	full	5	2	G10	A12	3295	81.7617866	2033	611	430	138	31	0	0	3243	2465.1875	432.1875	580	1.342010123	0.557231658	NA	NA	NA	NA	NA	NA	NA	NA
E12_PcG_full_rep1	12	1	s12_full_rep1	PcG	PcG_1	Pair	8	full	5	1	B9	B1	5689	84.36897523	3639	823	754	294	112	35	0	5657	4283.84375	644.84375	932.21875	1.445650594	0.600265426	NA	NA	NA	NA	NA	NA	NA	NA
E12_PCp_full_rep1	12	1	s12_full_rep1	PCp	PCp_1	Pair	8	full	5	1	C9	B2	10409	66.9130882	5302	729	1069	1338	1483	430	95	10446	6208.609375	906.609375	1847.59375	2.037915999	0.846186845	NA	NA	NA	NA	NA	NA	NA	NA
E12_LH_full_rep1	12	1	s12_full_rep1	LH	LH_1	Pair	8	full	5	1	E9	B4	11123	94.71219346	3941	847	1718	2035	1999	590	69	11199	5192.828125	1251.828125	2644.03125	2.112136001	0.877004597	NA	NA	NA	NA	NA	NA	NA	NA
E12_LZ_full_rep1	12	1	s12_full_rep1	LZ	LZ_1	Pair	8	full	5	1	F9	B5	15842	88.25626741	3723	1540	3678	4143	2427	547	73	16131	6100.296875	2377.296875	4861.6875	2.045048539	0.84914843	NA	NA	NA	NA	NA	NA	NA	NA
E12_LS_full_rep1	12	1	s12_full_rep1	LS	LS_1	Pair	8	full	5	1	G9	B6	9620	93.08176101	2190	1513	2410	2351	954	136	0	9554	3906.75	1716.75	3102.875	1.807412262	0.750476703	NA	NA	NA	NA	NA	NA	NA	NA
E12_LcG_full_rep1	12	1	s12_full_rep1	LcG	LcG_1	Pair	8	full	5	2	B9	B7	10406	92.10479731	3110	1618	2167	2285	988	234	32	10434	4815.9375	1705.9375	3035.9375	1.779629969	0.738940893	NA	NA	NA	NA	NA	NA	NA	NA
E12_LCp_full_rep1	12	1	s12_full_rep1	LCp	LCp_1	Pair	8	full	5	2	C9	B8	7756	74.85041498	3293	924	1197	1216	764	292	42	7728	4263.78125	970.78125	1757.0625	1.809946886	0.751529133	NA	NA	NA	NA	NA	NA	NA	NA
E12_HZ_full_rep1	12	1	s12_full_rep1	HZ	HZ_1	Pair	8	full	5	2	E9	B10	10431	86.46385942	4014	816	1603	2040	1454	474	76	10477	5184.625	1170.625	2419.1875	2.066577683	0.858087797	NA	NA	NA	NA	NA	NA	NA	NA
E12_HS_full_rep1	12	1	s12_full_rep1	HS	HS_1	Pair	8	full	5	2	C10	B11	5907	90.07319305	2415	502	1256	1155	549	94	0	5971	3161.625	746.625	1464.0625	1.960907417	0.814211214	NA	NA	NA	NA	NA	NA	NA	NA
E12_HcG_full_rep1	12	1	s12_full_rep1	HcG	HcG_1	Pair	8	full	5	2	G9	B12	4041	88.91089109	2832	212	378	399	258	46	0	4125	3099.9375	267.9375	516.3125	1.92698857	0.800127375	NA	NA	NA	NA	NA	NA	NA	NA
E12_HCp_full_rep1	12	1	s12_full_rep1	HCp	HCp_1	Pair	8	full	5	1	B8	C1	4828	54.56600362	3105	483	560	427	175	30	0	4780	3551.75	446.75	730.0625	1.634163402	0.678540025	NA	NA	NA	NA	NA	NA	NA	NA
E12_ZS_full_rep1	12	1	s12_full_rep1	ZS	ZS_1	Pair	8	full	5	1	D8	C3	13051	86.46482046	2826	1738	3795	3386	1270	119	0	13134	5150.09375	2324.09375	4372.34375	1.881311264	0.781161168	NA	NA	NA	NA	NA	NA	NA	NA
E12_ZcG_full_rep1	12	1	s12_full_rep1	ZcG	ZcG_1	Pair	8	full	5	1	E8	C4	14698	90.66683116	3292	1060	2647	4149	2757	722	80	14707	5198.5	1906.5	4218.9375	2.212922895	0.918853497	NA	NA	NA	NA	NA	NA	NA	NA
E12_ZCp_full_rep1	12	1	s12_full_rep1	ZCp	ZCp_1	Pair	8	full	5	1	F8	C5	15109	75.69639279	4869	1111	2424	3362	2388	832	186	15172	6628.90625	1759.90625	3772.6875	2.143686631	0.890105101	NA	NA	NA	NA	NA	NA	NA	NA
E12_ScG_full_rep1	12	1	s12_full_rep1	ScG	ScG_1	Pair	8	full	5	2	B8	C7	8304	88.81283422	2586	948	1977	1917	940	133	15	8516	3857.015625	1271.015625	2438.5625	1.918593644	0.79664162	NA	NA	NA	NA	NA	NA	NA	NA
